1/80 00525ed11123
2/80 02367fac66f8
3/80 02dfd77a014f
4/80 03341e63041f
5/80 03747fe43ee6
6/80 04b7b841c3c7
7/80 04f63526f099
8/80 04f7b27139ff
9/80 05238a96f874
10/80 052cd5b720ab
11/80 0577c5890f54
12/80 0638d4e1bbe3
13/80 064504ee1438
14/80 064cf50868f6
15/80 0650f3714685
16/80 065d2fab41db
17/80 0683cbcaf581
18/80 07487021ba06
19/80 07c21a21565d
20/80 089a0c845264
21/80 08d346d5c565
22/80 092d7f32c739
23/80 0931994845fd
24/80 0946545ee4d0
25/80 09774799de02
26/80 09ab4611e440
27/80 09bac03b223a
28/80 09bfcfd2d5c7
29/80 09c9e7d41682
30/80 0a409aa54fdb
31/80 0a59a606f08f
32/80 0a7527f69a54
33/80 0aa7b8489a73
34/80 0abaab15736f
35/80 0ac9eefe0c03
36/80 0acb98227592
37/80 0b3d68b53113
38/80 0b832d563966
39/80 0be104384967
40/80 0c69047637ba
41/80 0021b021d804
42/80 0027c7822b5b
43/80 00707b828333
44/80 00952b156190
45/80 00b0bfaa4ddb
46/80 00e7fbbbbf3a
47/80 0122aafe5c16
48/80 0186a9aacb71
49/80 01a8b9f73a91
50/80 01f6b068f103
51/80 024edc6e7507
52/80 025b37dcf4e7
53/80 0281cf4a7e18
54/80 029fa1d7b053
55/80 02ab6b8a1f55
56/80 02c7f3fe8d0b
57/80 02fbec4b5e37
58/80 03795d413c9b
59/80 0386af9276b0
60/80 0386cc565f80
61/80 0409f6d41cb3
62/80 04165cccd936
63/80 041fce8c6176
64/80 0496ca79ff49
65/80 0497c004500f
66/80 04eec16cb8f1
67/80 0508eeff371b
68/80 063e9875e221
69/80 06b4f8f07458
70/80 06e023fef8e8
71/80 07a75ab5d6f6
72/80 080de06a057e
73/80 0834c1ce57f0
74/80 0839a2cadc14
75/80 0851ad9d50b4
76/80 0870cf7d4e79
77/80 09274c15fdf9
78/80 093ec2a290c9
79/80 0974717e0ba7
80/80 099e4226c533
