1/80 0c8f819cb2c1
2/80 0ca9a178abab
3/80 0cf0cf046c8c
4/80 0cfa88442376
5/80 0cff42e84de0
6/80 0d12190830d6
7/80 0d3f340a5414
8/80 0d59b6c6ffd6
9/80 0d93fb837ed4
10/80 0df66ea076b8
11/80 0e6862f69404
12/80 0e7ef00f7ea2
13/80 0e8b647f33ef
14/80 0e8d014c57ed
15/80 0edde27320ad
16/80 0f902738ce97
17/80 0f914a033884
18/80 0fa9c761b66d
19/80 0fcf93c4a918
20/80 0ff611842d51
21/80 104f4131aa3d
22/80 10a04e3183df
23/80 10ca4970f486
24/80 110809c68c03
25/80 1140cb075f6b
26/80 1208600a3693
27/80 1283cb24b484
28/80 12978edc8ff3
29/80 12b32b51ea10
30/80 12ce1ba44b89
31/80 12e2e8eb265d
32/80 13b948519fda
33/80 1450de2b97bd
34/80 145344faec08
35/80 14623f928e19
36/80 147f99839ff6
37/80 149784c51a25
38/80 14af9640d0a7
39/80 14b08d64c435
40/80 155350f4e710
41/80 09cd1bfc6a97
42/80 09ef50729675
43/80 0a6c3d61f348
44/80 0aac30daca48
45/80 0b209a35cb41
46/80 0b84155d979b
47/80 0bb4a09ee171
48/80 0bed6cf8f54f
49/80 0cb0f0a99d7b
50/80 0d0425e743cf
51/80 0d32a656a0aa
52/80 0d4febdd779a
53/80 0ebbb381907b
54/80 0ec62b6939fd
55/80 0ed8d3a363f6
56/80 0edede10b548
57/80 0f2a61fe5606
58/80 0f7b05fc6a59
59/80 0fa1f4f5ca56
60/80 0fa3c29ae8e5
61/80 0fb7032c0e6f
62/80 0ff10f4da1e8
63/80 0ffcf1466b4d
64/80 1053c899712f
65/80 1077475bc324
66/80 10f885a39504
67/80 10fa1c38b524
68/80 114b5e87f5fb
69/80 114b71c70261
70/80 11d3a078f345
71/80 128cb775ae63
72/80 12d6030e43bc
73/80 139d4864db13
74/80 1422aedea104
75/80 1481856b9f50
76/80 14e9b0fc1690
77/80 1537da64ff86
78/80 1558b32d91a8
79/80 15619df60cfa
80/80 158344d94be3
