model,panel,gain,foundation,ascent
Qwen2.5-7B,1,0.625,0.375,1.0
Qwen2.5-7B,2,0.675,0.325,1.0
Qwen2.5-7B,3,0.7375,0.2625,1.0
Qwen2.5-7B,4,0.5625,0.4375,1.0
Qwen2.5-7B,5,0.6125,0.3875,1.0
Qwen2.5-7B,6,0.6625,0.3375,1.0
Qwen2.5-7B,7,0.7,0.3,1.0
Qwen2.5-7B,8,0.7125,0.2875,1.0
Qwen2.5-7B,9,0.7125,0.2875,1.0
Qwen2.5-7B,10,0.675,0.325,1.0
Mistral-7B-v0.3,1,0.8,0.1875,0.9875
Mistral-7B-v0.3,2,0.7375,0.1875,0.925
Mistral-7B-v0.3,3,0.875,0.1125,0.9875
Mistral-7B-v0.3,4,0.775,0.2,0.975
Mistral-7B-v0.3,5,0.8375,0.1125,0.95
Mistral-7B-v0.3,6,0.85,0.125,0.975
Mistral-7B-v0.3,7,0.75,0.2,0.95
Mistral-7B-v0.3,8,0.8625,0.1125,0.975
Mistral-7B-v0.3,9,0.8125,0.175,0.9875
Mistral-7B-v0.3,10,0.775,0.1875,0.9625
Falcon3-7B,1,0.8125,0.1875,1.0
Falcon3-7B,2,0.8375,0.1625,1.0
Falcon3-7B,3,0.9,0.1,1.0
Falcon3-7B,4,0.8,0.2,1.0
Falcon3-7B,5,0.775,0.225,1.0
Falcon3-7B,6,0.8,0.1875,0.9875
Falcon3-7B,7,0.7375,0.2625,1.0
Falcon3-7B,8,0.8625,0.1375,1.0
Falcon3-7B,9,0.8125,0.1875,1.0
Falcon3-7B,10,0.75,0.25,1.0
Granite-3.3-8B,1,0.8625,0.1,0.9625
Granite-3.3-8B,2,0.85,0.1,0.95
Granite-3.3-8B,3,0.9,0.05,0.95
Granite-3.3-8B,4,0.8625,0.075,0.9375
Granite-3.3-8B,5,0.9,0.0625,0.9625
Granite-3.3-8B,6,0.85,0.075,0.925
Granite-3.3-8B,7,0.7875,0.1,0.8875
Granite-3.3-8B,8,0.8875,0.075,0.9625
Granite-3.3-8B,9,0.8375,0.1125,0.95
Granite-3.3-8B,10,0.825,0.1,0.925
Qwen3-8B,1,0.7375,0.1875,0.925
Qwen3-8B,2,0.6,0.3375,0.9375
Qwen3-8B,3,0.8,0.15,0.95
Qwen3-8B,4,0.7,0.225,0.925
Qwen3-8B,5,0.7,0.225,0.925
Qwen3-8B,6,0.6625,0.2375,0.9
Qwen3-8B,7,0.8,0.15,0.95
Qwen3-8B,8,0.7125,0.2125,0.925
Qwen3-8B,9,0.7375,0.2125,0.95
Qwen3-8B,10,0.75,0.225,0.975
