model,model_b,slots,panel,gain_nll
1.5B,1.5,2,1,0.4928123786620186
1.5B,1.5,2,2,0.33166111450014524
1.5B,1.5,2,3,0.3412331757764803
1.5B,1.5,2,4,0.35152985284950616
1.5B,1.5,2,5,0.3254540611387232
1.5B,1.5,2,6,0.4701404869268546
1.5B,1.5,2,7,0.42378276332376363
1.5B,1.5,2,8,0.40880092393671996
1.5B,1.5,2,9,0.3481191642488263
1.5B,1.5,3,1,0.3775087396394541
1.5B,1.5,3,2,0.2105867769122472
1.5B,1.5,3,3,0.29146611238834774
1.5B,1.5,3,4,0.26328865667558077
1.5B,1.5,3,5,0.24866719871993742
1.5B,1.5,3,6,0.38476449611259067
1.5B,1.5,3,7,0.3381034809872646
1.5B,1.5,3,8,0.3021481917658009
1.5B,1.5,3,9,0.23406036806880598
1.5B,1.5,5,1,0.40443491675942544
1.5B,1.5,5,2,0.2152232575465472
1.5B,1.5,5,3,0.26736743955423203
1.5B,1.5,5,4,0.2665141612393757
1.5B,1.5,5,5,0.24380993248225863
1.5B,1.5,5,6,0.4088790779169336
1.5B,1.5,5,7,0.361564425744744
1.5B,1.5,5,8,0.3177852004658626
1.5B,1.5,5,9,0.24850071999736628
3B,3.0,2,1,1.483108061990764
3B,3.0,2,2,1.513538249085289
3B,3.0,2,3,1.248609083522531
3B,3.0,2,4,1.3633444973219395
3B,3.0,2,5,1.4840330142897207
3B,3.0,2,6,1.2718394766792636
3B,3.0,2,7,1.2563908302246378
3B,3.0,2,8,1.741923152130446
3B,3.0,2,9,1.3435124037059925
3B,3.0,3,1,1.9515603841566298
3B,3.0,3,2,2.19070920615124
3B,3.0,3,3,2.089647947215039
3B,3.0,3,4,1.8945081725701276
3B,3.0,3,5,2.1850481957298014
3B,3.0,3,6,2.187936860019729
3B,3.0,3,7,2.2636376945063175
3B,3.0,3,8,2.118586214776503
3B,3.0,3,9,2.011949281807228
3B,3.0,5,1,2.593787672225468
3B,3.0,5,2,2.489644614080431
3B,3.0,5,3,2.5362301196225907
3B,3.0,5,4,2.566229913161829
3B,3.0,5,5,2.57564655810367
3B,3.0,5,6,2.6541740485982963
3B,3.0,5,7,2.698376759765094
3B,3.0,5,8,2.6389940307460673
3B,3.0,5,9,2.5314974329513467
7B,7.0,2,1,3.6723405836748078
7B,7.0,2,2,4.039572382510253
7B,7.0,2,3,3.4819160992010216
7B,7.0,2,4,3.2817454651526603
7B,7.0,2,5,3.7792258625447124
7B,7.0,2,6,3.3601947920565722
7B,7.0,2,7,3.7384882818853207
7B,7.0,2,8,4.313133721142602
7B,7.0,2,9,3.7142209750039754
7B,7.0,3,1,6.1035047343637485
7B,7.0,3,2,6.40648666086641
7B,7.0,3,3,6.038013070236296
7B,7.0,3,4,5.191519426759838
7B,7.0,3,5,6.077010387865245
7B,7.0,3,6,5.492316914061712
7B,7.0,3,7,6.434519105539172
7B,7.0,3,8,6.064280803593861
7B,7.0,3,9,5.746142955910194
7B,7.0,5,1,7.557470941539791
7B,7.0,5,2,7.2994284805574265
7B,7.0,5,3,7.507032926615787
7B,7.0,5,4,7.150750013243547
7B,7.0,5,5,7.341517039891731
7B,7.0,5,6,7.256998691559539
7B,7.0,5,7,7.627457787862594
7B,7.0,5,8,7.737018548670312
7B,7.0,5,9,7.177510444422147
