study,contrast,scale_b,scale_label,panel,value
Official 16K,ASCENT - Foundation,0.5,0.5B,1,0.0625
Official 16K,ASCENT - Foundation,0.5,0.5B,2,0.1125
Official 16K,ASCENT - Foundation,0.5,0.5B,3,0.125
Official 16K,ASCENT - Foundation,0.5,0.5B,4,0.125
Official 16K,ASCENT - Foundation,0.5,0.5B,5,0.0125
Official 16K,ASCENT - Foundation,0.5,0.5B,6,0.15
Official 16K,ASCENT - Foundation,0.5,0.5B,7,0.2
Official 16K,ASCENT - Foundation,0.5,0.5B,8,0.1
Official 16K,ASCENT - Foundation,0.5,0.5B,9,0.0625
Official 16K,ASCENT - Foundation,0.5,0.5B,10,0.1
Official 16K,ASCENT - Foundation,1.5,1.5B,1,0.8625
Official 16K,ASCENT - Foundation,1.5,1.5B,2,0.775
Official 16K,ASCENT - Foundation,1.5,1.5B,3,0.7875
Official 16K,ASCENT - Foundation,1.5,1.5B,4,0.8375
Official 16K,ASCENT - Foundation,1.5,1.5B,5,0.75
Official 16K,ASCENT - Foundation,1.5,1.5B,6,0.775
Official 16K,ASCENT - Foundation,1.5,1.5B,7,0.8
Official 16K,ASCENT - Foundation,1.5,1.5B,8,0.8
Official 16K,ASCENT - Foundation,1.5,1.5B,9,0.75
Official 16K,ASCENT - Foundation,1.5,1.5B,10,0.75
Official 16K,ASCENT - Foundation,3.0,3B,1,0.8
Official 16K,ASCENT - Foundation,3.0,3B,2,0.8
Official 16K,ASCENT - Foundation,3.0,3B,3,0.8125
Official 16K,ASCENT - Foundation,3.0,3B,4,0.8375
Official 16K,ASCENT - Foundation,3.0,3B,5,0.875
Official 16K,ASCENT - Foundation,3.0,3B,6,0.8125
Official 16K,ASCENT - Foundation,3.0,3B,7,0.825
Official 16K,ASCENT - Foundation,3.0,3B,8,0.825
Official 16K,ASCENT - Foundation,3.0,3B,9,0.825
Official 16K,ASCENT - Foundation,3.0,3B,10,0.85
Semantic holdout,ASCENT - Foundation,0.5,0.5B,1,0.025
Semantic holdout,ASCENT - Foundation,0.5,0.5B,2,0.025
Semantic holdout,ASCENT - Foundation,0.5,0.5B,3,0.0
Semantic holdout,ASCENT - Foundation,0.5,0.5B,4,0.0125
Semantic holdout,ASCENT - Foundation,0.5,0.5B,5,0.1
Semantic holdout,ASCENT - Foundation,0.5,0.5B,6,0.1
Semantic holdout,ASCENT - Foundation,0.5,0.5B,7,0.0375
Semantic holdout,ASCENT - Foundation,0.5,0.5B,8,-0.025
Semantic holdout,ASCENT - Foundation,0.5,0.5B,9,0.025
Semantic holdout,ASCENT - Foundation,0.5,0.5B,10,0.05
Semantic holdout,ASCENT - Foundation,1.5,1.5B,1,0.8
Semantic holdout,ASCENT - Foundation,1.5,1.5B,2,0.825
Semantic holdout,ASCENT - Foundation,1.5,1.5B,3,0.725
